"weight;"word";"color";"url""
"40";"PETALS";"#ffff00";""
"24";"STEM";"#00ffff";""
"20";"science";"#ffc0cb";""
"20";"technology";"#ffc0cb";""
"20";"engineering";"#ffc0cb";""
"20";"mathematics";"#ffc0cb";""
"20";"digital";"#ffc0cb";""
"20";"academy";"#ffc0cb";""
"20";"industrial revolution";"#ffc0cb";""
"20";"digital revolution";"#ffc0cb";""
"20";"4.0";"#ffc0cb";""
"18";"Computer Science";"#ffa500";""
"18";"Arduino";"#ffa500";""
"18";"Raspberry Pi";"#ffa500";""
"18";"Creativity";"#ffa500";""
"18";"Critical Thinking";"#ffa500";""
"18";"Decision making";"#ffa500";""
"18";"logical reasoning";"#ffa500";""
"18";"Problem solving";"#ffa500";""
"18";"Programming";"#ff0000";""
"18";"coding";"#ff0000";""
"18";"Machine Learning";"#ff0000";""
"18";"Artificial Intelligence";"#ff0000";""
"18";"IOT";"#ff0000";""
"18";"Animation";"#00ff00";""
"18";"Games";"#00ff00";""
"18";"APP";"#00ff00";""
"18";"Web Design";"#00ff00";""
"18";"Scratch";"#0000ff";""
"18";"App inventer";"#0000ff";""
"18";"Google Sites";"#0000ff";""
"18";"HTML";"#0000ff";""
"18";"CSS";"#0000ff";""
"18";"Javascript";"#0000ff";""
"18";"Python";"#0000ff";""
"18";"Experiments";"#0000ff";""
"18";"Realife projects";"#0000ff";""
